Top 1000 Wordle openers (score = information gain, higher = better)
============================================================
447. RYALS | score: 27.4995 | visits: 27
448. PERTS | score: 27.4995 | visits: 27
449. SLATY | score: 27.4994 | visits: 27
450. RINES | score: 27.4994 | visits: 27
451. NOSED | score: 27.4993 | visits: 27
452. SPENT | score: 27.4993 | visits: 27
453. LATEN | score: 27.4993 | visits: 27
454. BEARS | score: 27.4993 | visits: 27
455. NASTY | score: 27.4992 | visits: 27
456. SPIRY | score: 27.4992 | visits: 27
457. SWEAT | score: 27.4991 | visits: 27
458. SERVO | score: 27.4991 | visits: 27
459. TRINE | score: 27.4991 | visits: 27
460. RESID | score: 27.4991 | visits: 27
461. CROST | score: 27.4990 | visits: 27
462. SCRAY | score: 27.4990 | visits: 27
463. PLANE | score: 27.4990 | visits: 27
464. SCREW | score: 27.4990 | visits: 27
465. NOIRS | score: 27.4990 | visits: 27
466. LAERS | score: 27.4990 | visits: 27
467. NOTES | score: 27.4989 | visits: 27
468. SHORT | score: 27.4989 | visits: 27
469. LOTES | score: 27.4989 | visits: 27
470. RAITS | score: 27.4988 | visits: 27
471. ANISE | score: 27.4988 | visits: 27
472. SABIR | score: 27.4988 | visits: 27
473. TWOER | score: 27.4988 | visits: 27
474. SCAPE | score: 27.4988 | visits: 27
475. ANOLE | score: 27.4987 | visits: 27
476. SHONE | score: 27.4987 | visits: 27
477. GLARE | score: 27.4987 | visits: 27
478. SARGO | score: 27.4986 | visits: 27
479. COREY | score: 27.4986 | visits: 27
480. ROUST | score: 27.4985 | visits: 27
481. TRUES | score: 27.4985 | visits: 27
482. STRAG | score: 27.4984 | visits: 27
483. SAMEY | score: 27.4984 | visits: 27
484. CARLE | score: 27.4983 | visits: 27
485. SMITE | score: 27.4982 | visits: 27
486. LARES | score: 27.4982 | visits: 27
487. SYRAH | score: 27.4981 | visits: 27
488. TOILE | score: 27.4981 | visits: 27
489. RESET | score: 27.4980 | visits: 27
490. SNARL | score: 27.4980 | visits: 27
